Added 6331; Current median 6331; running total 6331
Added 2793; Current median 2793; running total 9124
Added 1640; Current median 2793; running total 1917
Added 9290; Current median 2793; running total 4710
Added 225; Current median 2793; running total 7503
Added 625; Current median 1640; running total 9143
Added 6195; Current median 2793; running total 1936
Added 2303; Current median 2303; running total 4239
Added 5685; Current median 2793; running total 7032
Added 1354; Current median 2303; running total 9335
Added 4292; Current median 2793; running total 2128
Added 7600; Current median 2793; running total 4921
Added 6447; Current median 4292; running total 9213
Added 4479; Current median 4292; running total 3505
Added 9046; Current median 4479; running total 7984
Added 7293; Current median 4479; running total 2463
Added 5147; Current median 5147; running total 7610
Added 1260; Current median 4479; running total 2089
Added 1386; Current median 4479; running total 6568
Added 6193; Current median 4479; running total 1047
Added 4135; Current median 4479; running total 5526
Added 3611; Current median 4292; running total 9818
Added 8583; Current median 4479; running total 4297
Added 1446; Current median 4292; running total 8589
Added 3480; Current median 4292; running total 2881
Added 2022; Current median 4135; running total 7016
Added 961; Current median 4135; running total 1151
Added 7123; Current median 4135; running total 5286
Added 7262; Current median 4292; running total 9578
Added 2261; Current median 4135; running total 3713
Added 8380; Current median 4292; running total 8005
Added 2123; Current median 4135; running total 2140
Added 1286; Current median 4135; running total 6275
Added 1274; Current median 3611; running total 9886
Added 1369; Current median 3611; running total 3497
Added 831; Current median 3480; running total 6977
Added 927; Current median 3480; running total 457
Added 993; Current median 2793; running total 3250
Added 4484; Current median 3480; running total 6730
Added 4865; Current median 3480; running total 210
Added 8473; Current median 3611; running total 3821
Added 8587; Current median 3611; running total 7432
Added 4200; Current median 4135; running total 1567
Added 1216; Current median 3611; running total 5178
Added 2454; Current median 3611; running total 8789
Added 3371; Current median 3480; running total 2269
Added 6471; Current median 3611; running total 5880
Added 6303; Current median 3611; running total 9491
Added 6837; Current median 4135; running total 3626
Added 3365; Current median 3611; running total 7237
Added 1733; Current median 3611; running total 848
Added 1875; Current median 3480; running total 4328
Added 6239; Current median 3611; running total 7939
Added 1009; Current median 3480; running total 1419
Added 9058; Current median 3611; running total 5030
Added 2833; Current median 3480; running total 8510
Added 3555; Current median 3555; running total 2065
Added 2329; Current median 3480; running total 5545
Added 5901; Current median 3555; running total 9100
Added 8765; Current median 3555; running total 2655
Added 5317; Current median 3611; running total 6266
Added 3505; Current median 3555; running total 9821
Added 1310; Current median 3555; running total 3376
Added 2050; Current median 3505; running total 6881
Added 9305; Current median 3555; running total 436
Added 6941; Current median 3555; running total 3991
Added 1267; Current median 3555; running total 7546
Added 1801; Current median 3505; running total 1051
Added 4181; Current median 3555; running total 4606
Added 4854; Current median 3555; running total 8161
Added 5549; Current median 3611; running total 1772
Added 7990; Current median 3611; running total 5383
Added 1058; Current median 3611; running total 8994
Added 7066; Current median 3611; running total 2605
Added 3719; Current median 3719; running total 6324
Added 7080; Current median 3719; running total 43
Added 5874; Current median 4135; running total 4178
Added 5706; Current median 4135; running total 8313
Added 5397; Current median 4181; running total 2494
Added 2746; Current median 4135; running total 6629
Added 2246; Current median 4135; running total 764
Added 3172; Current median 3719; running total 4483
Added 3561; Current median 3719; running total 8202
Added 9407; Current median 3719; running total 1921
Added 9207; Current median 4135; running total 6056
Added 3912; Current median 3912; running total 9968
Added 365; Current median 3912; running total 3880
Added 6607; Current median 3912; running total 7792
Added 1381; Current median 3912; running total 1704
Added 5283; Current median 3912; running total 5616
Added 1477; Current median 3912; running total 9528
Added 3932; Current median 3912; running total 3440
Added 2632; Current median 3912; running total 7352
Added 5179; Current median 3912; running total 1264
Added 1645; Current median 3912; running total 5176
Added 5714; Current median 3912; running total 9088
Added 1183; Current median 3912; running total 3000
Added 982; Current median 3719; running total 6719
Added 6846; Current median 3912; running total 631
Added 4154; Current median 3912; running total 4543
Added 1595; Current median 3912; running total 8455
Added 5426; Current median 3912; running total 2367
Added 6412; Current median 3932; running total 6299
Added 9160; Current median 3932; running total 231
Added 1746; Current median 3932; running total 4163
